前项,后项,支持度 %,置信度 %,提升
{'骑行时间少于10分钟'},{'1公里以内'},0.31022557419329627,0.7648858271509779,1.801778389860571
{'1公里以内'},{'骑行时间少于10分钟'},0.31022557419329627,0.7307727712063332,1.801778389860571
{'1公里-2公里'},{'骑行时间10-30分钟以内'},0.24733052627465538,0.7107324331152972,1.410810839996799
{'晚上时段用车'},{'骑行时间10-30分钟以内'},0.22305370209357078,0.5618663254257309,1.1153101583746046
{'骑行时间10-30分钟以内'},{'1公里-2公里'},0.24733052627465538,0.4909535167839897,1.410810839996799
{'骑行时间10-30分钟以内'},{'晚上时段用车'},0.22305370209357078,0.4427637830395407,1.1153101583746046
