簇类,轮廓系数
2,0.44134279562056106
3,0.41155261682190575
4,0.402090494586073
5,0.3832815714889705
6,0.3545621558094356
7,0.35395475909683854
8,0.3481580826856966
9,0.3485389324337204
10,0.3474197095810844
11,0.34293920570747194
12,0.33470336290552777
13,0.3357153138423033
14,0.3334182984925875
15,0.33087717162830405
16,0.33131622903339025
17,0.3312715864070522
18,0.3315978213507889
19,0.33381644777435404
20,0.3344809471856157
21,0.3347915676223343
