,准确率,准确率_score,精确率,精确率_score,召回率,召回率_score,F1值,F1值_score
0,贝叶斯准确率,0.8354114713216958,贝叶斯精确率,0.8518902123252201,贝叶斯召回率,0.9492210040392384,贝叶斯F1值,0.8979257641921398
1,SVM准确率,0.8607892034619334,SVM精确率,0.8563044936284373,SVM召回率,0.9823042892864012,SVMF1值,0.9149870106602168
2,决策树准确率,0.8261698694440369,决策树精确率,0.8729096989966555,决策树召回率,0.9036353144835545,决策树F1值,0.888006804649844
3,随机森林准确率,0.85096083321109,随机森林精确率,0.8660948713460529,随机森林召回率,0.9517214849009424,随机森林F1值,0.906891495601173
