内容,时间,分词,情感分值,情感类型
后悔当年没开原神工程,2023-02-24 15:35,后悔 当年 开原 工程,0.101,neg
什么傻瓜ai,2023-02-15 11:08,傻瓜,0.2371,neg
玩原神玩的,2023-02-15 13:31,原神,0.6105,pos
玩原神玩的,2023-02-23 18:33,原神,0.6105,pos
玩原神玩的,2023-02-23 18:54,原神,0.6105,pos
大脑怠机了,2023-02-24 15:33,大脑 怠机,0.6391,pos
有医学院已经实习过的学长学姐吗？实习分配是按照前三年的综测和志愿吗？,2023-02-24 15:03,医学院 实习 学长 学姐 实习 分配 三年 综测 志愿,0.9469,pos
插个眼,2023-02-24 15:20,插个,0.4063,pos
最终幻想是吧,2023-01-15 21:10,最终幻想,0.6973,pos
那鼠鼠考不上了捏,2023-01-15 21:35,那鼠鼠 考不上,0.2137,neg
那学长现在也不至于这么惨,2023-01-15 23:31,学长,0.9262,pos
考不上了,2023-01-21 16:37,考不上,0.2312,neg
如果泥郑努力一点我就能考老家的定向选调了,2023-02-12 13:53,努力 一点 老家 定向 选调,0.7738,pos
想问问鼠鼠们有没有想出去住的，本人男喜欢安静的环境，想在莲花街租个房子，找合租室友,2023-02-24 15:04,问问 鼠鼠们 有没有 喜欢 安静 环境 莲花 街租个 房子 合租 室友,0.7309,pos
希望2023.2.14上午十点多在郑州大学北门偷这束碎冰蓝的学弟/学妹，情人节快乐，希望你是真的快乐，而不是用别人的花麻痹自己，或者用偷来的花送给喜欢的人，今天你偷花，明天就轮到你老婆/老公偷人。想必你真的很孤单吧，我只觉得你可怜。,2023-02-14 14:17,希望 上午 十点 郑州大学 北门 这束 碎冰 学弟 学妹 情人节 快乐 希望 真的 快乐 麻痹 偷来 送给 喜欢 偷花 明天 老婆 老公 偷人 想必 真的 孤单 可怜,0.0186,neg
真的难绷，花都偷,2023-02-14 14:36,真的 花都,0.3325,neg
今日首蚌,2023-02-14 14:48,今日,0.2453,neg
哈人,2023-02-14 14:52,哈人,0.7936,pos
感觉有点可怜,2023-02-14 14:53,感觉 可怜,0.0926,neg
郑大✌也偷？,2023-02-14 15:12,郑大,0.7038,pos
nm真的逆天,2023-02-14 15:36,真的 逆天,0.9428,pos
我女朋友非要这朵我就拿走了,2023-02-14 15:59,女朋友 非要 这朵 拿走,0.1048,neg
蚌埠住了,2023-02-14 16:07,蚌埠,0.6808,pos
蚌埠住了,2023-02-14 16:08,蚌埠,0.6808,pos
逆天,2023-02-14 16:30,逆天,0.9282,pos
郑带的素质！,2023-02-14 16:54,郑带 素质,0.2561,neg
找找监控,2023-02-14 17:22,监控,0.4224,pos
哈人,2023-02-14 17:27,哈人,0.7936,pos
花都偷是真的离谱 一眼惯偷,2023-02-14 17:51,花都 偷是 真的 离谱 一眼 惯偷,0.016,neg
可能拿错了,2023-02-14 17:55,拿错,0.5125,pos
估计是谁外卖送的花，让别人领，领错了,2023-02-14 19:36,估计 外卖 领错,0.2286,neg
哈哈哈,2023-02-14 21:47,哈哈哈,0.9536,pos
好似,2023-02-14 22:13,好似,0.3267,neg
这就是我们郑带🐭的素质,2023-02-14 22:32,郑带 素质,0.2561,neg
不好意思,2023-02-14 23:26,不好意思,0.7879,pos
郑州大学现在解封了吗？ 毕业生能进吗？,2023-02-23 13:42,郑州大学 解封 毕业生 能进,0.713,pos
