,准确率,准确率_score,精确率,精确率_score,召回率,召回率_score,F1值,F1值_score
0,贝叶斯准确率,0.7993,贝叶斯精确率,0.7993,贝叶斯召回率,0.7993,贝叶斯F1值,0.7801
1,SVM准确率,0.7853,SVM精确率,0.7853,SVM召回率,0.7853,SVMF1值,0.7293
2,决策树准确率,0.7574,决策树精确率,0.7574,决策树召回率,0.7574,决策树F1值,0.7343
3,随机森林准确率,0.7801,随机森林精确率,0.7801,随机森林召回率,0.7801,随机森林F1值,0.7397
